date,teamAbbrv,pitcher_name,throws,win,loss,tie,finished5
2024-04-02,PHI,Spencer Turnbull,R,1,0,0,1
2024-04-02,CIN,Graham Ashcraft,R,0,1,0,1
2024-03-31,KC,Brady Singer,R,1,0,0,1
2024-03-31,MIN,Bailey Ober,R,0,1,0,0
2024-03-28,BAL,Corbin Burnes,R,1,0,0,1
2024-03-28,LAA,Patrick Sandoval,L,0,1,0,0
2024-04-05,PIT,Jared Jones,R,0,1,0,1
2024-04-05,BAL,Grayson Rodriguez,R,1,0,0,1
2024-04-05,KC,Brady Singer,R,0,0,1,1
2024-04-05,CWS,Erick Fedde,R,0,0,1,1
2024-03-29,LAD,Bobby Miller,R,1,0,0,1
2024-03-29,STL,Zack Thompson,L,0,1,0,1
2024-03-31,CWS,Erick Fedde,L,0,1,0,0
2024-03-31,DET,Jack Flaherty,R,1,0,0,1
2024-03-29,NYM,Jose Quintana,R,0,1,0,0
2024-03-29,MIL,Freddy Peralta,R,1,0,0,1
2024-03-29,TB,Aaron Civale,R,1,0,0,1
2024-03-29,TOR,Chris Bassitt,R,0,1,0,1
2024-04-05,DET,Tarik Skubal,L,1,0,0,1
2024-04-05,OAK,JP Sears,L,0,1,0,1
2024-03-31,OAK,Paul Blackburn,R,1,0,0,1
2024-03-31,CLE,Carlos Carrasco,R,0,1,0,1
2024-04-05,TEX,Cody Bradford,L,1,0,0,1
2024-04-05,HOU,Hunter Brown,R,0,1,0,0
2024-04-05,WSH,Patrick Corbin,L,0,1,0,1
2024-04-05,PHI,Aaron Nola,R,1,0,0,1
2024-03-31,AZ,Brandon Pfaadt,R,1,0,0,1
2024-03-31,COL,Ryan Feltner,R,0,1,0,1
2024-04-03,TB,Aaron Civale,R,0,0,1,1
2024-04-03,TEX,Nathan Eovaldi,R,0,0,1,1
2024-04-05,SF,Jordan Hicks,R,0,1,0,1
2024-04-05,SD,Dylan Cease,R,1,0,0,1
2024-03-31,SEA,Bryce Miller,R,0,1,0,1
2024-03-31,BOS,Garrett Whitlock,R,1,0,0,1
2024-03-30,SD,Dylan Cease,R,0,1,0,0
2024-03-30,SF,Jordan Hicks,R,1,0,0,1
2024-03-31,HOU,J.P. France,R,0,1,0,1
2024-03-31,NYY,Clarke Schmidt,R,1,0,0,1
2024-03-30,NYM,Luis Severino,R,0,1,0,1
2024-03-30,MIL,DL Hall,R,1,0,0,0
2024-03-31,CIN,Nick Martinez,R,0,0,1,1
2024-03-31,WSH,Jake Irvin,R,0,0,1,1
2024-04-05,NYY,Marcus Stroman,R,0,0,1,1
2024-04-05,TOR,Yusei Kikuchi,L,0,0,1,1
2024-04-05,MIL,Freddy Peralta,R,1,0,0,1
2024-04-05,SEA,Logan Gilbert,R,0,1,0,1
2024-03-31,TB,Shawn Armstrong,L,0,1,0,0
2024-03-31,TOR,Kevin Gausman,R,1,0,0,0
2024-04-04,NYM,José Buttó,R,0,1,0,1
2024-04-04,DET,Matt Manning,R,1,0,0,1
2024-04-05,CHC,Kyle Hendricks,L,1,0,0,0
2024-04-05,LAD,Bobby Miller,L,0,1,0,0
2024-04-03,AZ,Merrill Kelly,R,0,0,1,1
2024-04-03,NYY,Carlos Rodón,L,0,0,1,1
2024-04-05,COL,Austin Gomber,R,0,1,0,0
2024-04-05,TB,Zack Littell,R,1,0,0,1
2024-03-28,CWS,Garrett Crochet,L,0,1,0,1
2024-03-28,DET,Tarik Skubal,L,1,0,0,1
2024-04-03,MIA,A.J. Puk,R,0,1,0,0
2024-04-03,LAA,Patrick Sandoval,L,1,0,0,1
2024-04-05,ATL,Spencer Strider,R,0,1,0,0
2024-04-05,AZ,Tommy Henry,L,1,0,0,1
2024-03-28,LAD,Tyler Glasnow,R,1,0,0,1
2024-03-28,STL,Miles Mikolas,R,0,1,0,0
